customer_id,age,gender,city,repeat_customer,loyalty_member,registration_date,age_group
CUST00001,59,Male,Hyderabad,No,No,2023-03-16,51-65
CUST00002,32,Male,Bangalore,Yes,No,2023-03-01,26-35
CUST00003,27,Male,Hyderabad,No,Yes,2023-04-08,26-35
CUST00004,34,Female,Chennai,Yes,No,2023-04-27,26-35
CUST00005,58,Female,Bangalore,No,No,2023-02-11,51-65
CUST00006,79,Female,Hyderabad,Yes,Yes,2023-04-01,65+
CUST00007,77,Male,Chennai,No,Yes,2023-06-21,65+
CUST00008,39,Female,Hyderabad,Yes,Yes,2023-06-29,36-50
CUST00009,37,Male,Bangalore,Yes,Yes,2023-06-05,36-50
CUST00010,25,Male,Hyderabad,Yes,Yes,2023-05-17,18-25
CUST00011,62,Male,Hyderabad,No,No,2023-02-11,51-65
CUST00012,54,Female,Hyderabad,No,Yes,2023-04-08,51-65
CUST00013,37,Female,Bangalore,Yes,Yes,2023-06-13,36-50
CUST00014,65,Male,Hyderabad,Yes,No,2023-06-25,51-65
CUST00015,46,Female,Hyderabad,Yes,No,2023-01-15,36-50
CUST00016,71,Male,Chennai,Yes,No,2023-01-09,65+
CUST00017,53,Female,Bangalore,Yes,No,2023-04-13,51-65
CUST00018,37,Female,Bangalore,Yes,Yes,2023-01-17,36-50
CUST00019,53,Male,Chennai,No,No,2023-05-26,51-65
CUST00020,46,Female,Bangalore,Yes,No,2023-02-24,36-50
CUST00021,77,Female,Chennai,Yes,No,2023-04-12,65+
CUST00022,53,Female,Chennai,No,No,2023-02-06,51-65
CUST00023,51,Female,Bangalore,No,Yes,2023-02-05,51-65
CUST00024,69,Male,Hyderabad,No,No,2023-05-24,65+
CUST00025,57,Female,Hyderabad,No,No,2023-05-30,51-65
CUST00026,20,Female,Chennai,Yes,No,2023-05-30,18-25
CUST00027,33,Female,Hyderabad,Yes,Yes,2023-04-03,26-35
CUST00028,40,Male,Hyderabad,No,No,2023-02-05,36-50
CUST00029,58,Female,Hyderabad,Yes,No,2023-01-24,51-65
CUST00030,27,Male,Hyderabad,No,Yes,2023-01-29,26-35
CUST00031,75,Male,Hyderabad,Yes,Yes,2023-06-10,65+
CUST00032,64,Male,Hyderabad,No,Yes,2023-06-24,51-65
CUST00033,38,Female,Hyderabad,Yes,No,2023-06-02,36-50
CUST00034,34,Male,Bangalore,Yes,No,2023-04-09,26-35
CUST00035,60,Female,Chennai,No,No,2023-06-02,51-65
CUST00036,48,Female,Hyderabad,No,Yes,2023-05-16,36-50
CUST00037,44,Female,Hyderabad,Yes,Yes,2023-05-22,36-50
CUST00038,34,Male,Bangalore,Yes,Yes,2023-06-24,26-35
CUST00039,46,Male,Chennai,Yes,No,2023-06-24,36-50
CUST00040,24,Female,Chennai,Yes,Yes,2023-06-14,18-25
CUST00041,43,Female,Hyderabad,Yes,No,2023-01-29,36-50
CUST00042,59,Female,Bangalore,Yes,No,2023-04-22,51-65
CUST00043,63,Male,Bangalore,No,Yes,2023-04-27,51-65
CUST00044,59,Male,Bangalore,Yes,Yes,2023-03-09,51-65
CUST00045,71,Male,Chennai,Yes,No,2023-05-10,65+
CUST00046,26,Male,Hyderabad,Yes,No,2023-06-10,26-35
CUST00047,76,Female,Chennai,Yes,No,2023-06-13,65+
CUST00048,43,Male,Chennai,No,No,2023-02-09,36-50
CUST00049,19,Female,Hyderabad,Yes,Yes,2023-02-11,18-25
CUST00050,29,Male,Bangalore,Yes,Yes,2023-06-03,26-35
CUST00051,70,Female,Hyderabad,Yes,No,2023-05-06,65+
CUST00052,59,Male,Bangalore,Yes,Yes,2023-01-29,51-65
CUST00053,69,Female,Chennai,Yes,Yes,2023-03-20,65+
CUST00054,57,Male,Hyderabad,Yes,No,2023-01-15,51-65
CUST00055,34,Male,Hyderabad,Yes,No,2023-05-26,26-35
CUST00056,43,Male,Bangalore,Yes,No,2023-01-22,36-50
CUST00057,19,Female,Hyderabad,Yes,Yes,2023-01-18,18-25
CUST00058,76,Male,Hyderabad,Yes,No,2023-02-02,65+
CUST00059,57,Female,Bangalore,Yes,Yes,2023-05-21,51-65
CUST00060,35,Male,Hyderabad,No,No,2023-03-09,26-35
CUST00061,46,Female,Hyderabad,No,No,2023-02-24,36-50
CUST00062,51,Male,Chennai,Yes,Yes,2023-03-21,51-65
CUST00063,46,Female,Hyderabad,Yes,Yes,2023-06-21,36-50
CUST00064,52,Female,Chennai,Yes,Yes,2023-04-23,51-65
CUST00065,47,Female,Hyderabad,Yes,No,2023-01-31,36-50
CUST00066,46,Male,Hyderabad,Yes,Yes,2023-02-27,36-50
CUST00067,50,Male,Hyderabad,No,Yes,2023-03-28,36-50
CUST00068,33,Male,Hyderabad,Yes,No,2023-05-31,26-35
CUST00069,48,Male,Chennai,Yes,No,2023-05-31,36-50
CUST00070,35,Male,Hyderabad,No,No,2023-01-02,26-35
CUST00071,47,Male,Bangalore,No,Yes,2023-06-11,36-50
CUST00072,70,Male,Hyderabad,No,Yes,2023-02-28,65+
CUST00073,33,Male,Hyderabad,Yes,Yes,2023-01-09,26-35
CUST00074,53,Female,Hyderabad,No,Yes,2023-01-19,51-65
CUST00075,24,Male,Chennai,Yes,No,2023-03-13,18-25
CUST00076,50,Female,Chennai,No,No,2023-02-24,36-50
CUST00077,58,Male,Hyderabad,Yes,No,2023-05-27,51-65
CUST00078,47,Female,Hyderabad,No,No,2023-03-04,36-50
CUST00079,34,Female,Hyderabad,No,Yes,2023-04-15,26-35
CUST00080,36,Male,Hyderabad,Yes,No,2023-01-25,36-50
CUST00081,54,Male,Hyderabad,Yes,No,2023-06-18,51-65
CUST00082,70,Female,Chennai,No,No,2023-04-01,65+
CUST00083,54,Female,Bangalore,No,Yes,2023-04-16,51-65
CUST00084,40,Female,Bangalore,No,No,2023-01-14,36-50
CUST00085,51,Male,Chennai,No,Yes,2023-01-16,51-65
CUST00086,53,Female,Bangalore,No,Yes,2023-03-28,51-65
CUST00087,50,Male,Bangalore,Yes,No,2023-03-05,36-50
CUST00088,35,Male,Chennai,Yes,No,2023-02-18,26-35
CUST00089,46,Female,Hyderabad,Yes,Yes,2023-02-05,36-50
CUST00090,44,Female,Chennai,Yes,No,2023-02-16,36-50
CUST00091,39,Female,Chennai,Yes,No,2023-04-29,36-50
CUST00092,51,Male,Bangalore,No,Yes,2023-01-20,51-65
CUST00093,32,Female,Bangalore,Yes,No,2023-05-21,26-35
CUST00094,55,Male,Bangalore,Yes,Yes,2023-01-13,51-65
CUST00095,51,Male,Bangalore,No,No,2023-01-24,51-65
CUST00096,40,Male,Chennai,No,Yes,2023-02-12,36-50
CUST00097,53,Female,Hyderabad,No,Yes,2023-05-05,51-65
CUST00098,48,Female,Bangalore,Yes,Yes,2023-02-24,36-50
CUST00099,38,Female,Hyderabad,Yes,No,2023-01-16,36-50
CUST00100,25,Male,Chennai,Yes,Yes,2023-04-08,18-25
CUST00101,53,Male,Hyderabad,Yes,Yes,2023-04-10,51-65
CUST00102,73,Female,Chennai,Yes,No,2023-04-27,65+
CUST00103,22,Female,Chennai,Yes,No,2023-04-19,18-25
CUST00104,35,Female,Bangalore,Yes,No,2023-02-09,26-35
CUST00105,70,Male,Hyderabad,Yes,Yes,2023-03-17,65+
CUST00106,41,Male,Bangalore,No,No,2023-01-15,36-50
CUST00107,58,Male,Hyderabad,Yes,No,2023-03-22,51-65
CUST00108,39,Male,Hyderabad,Yes,No,2023-01-13,36-50
CUST00109,43,Female,Chennai,No,No,2023-05-09,36-50
CUST00110,47,Male,Hyderabad,Yes,No,2023-01-15,36-50
CUST00111,44,Male,Hyderabad,Yes,Yes,2023-02-17,36-50
CUST00112,48,Male,Chennai,Yes,Yes,2023-06-02,36-50
CUST00113,53,Male,Hyderabad,No,No,2023-06-22,51-65
CUST00114,54,Male,Chennai,Yes,Yes,2023-04-14,51-65
CUST00115,73,Male,Hyderabad,Yes,No,2023-05-26,65+
CUST00116,24,Male,Hyderabad,No,No,2023-05-29,18-25
CUST00117,77,Male,Chennai,No,No,2023-06-08,65+
CUST00118,71,Male,Hyderabad,Yes,No,2023-04-18,65+
CUST00119,79,Female,Bangalore,No,Yes,2023-03-08,65+
CUST00120,52,Male,Bangalore,Yes,Yes,2023-06-21,51-65
CUST00121,37,Female,Hyderabad,Yes,Yes,2023-03-03,36-50
CUST00122,51,Female,Chennai,Yes,No,2023-04-12,51-65
CUST00123,39,Male,Hyderabad,No,Yes,2023-06-21,36-50
CUST00124,53,Female,Bangalore,No,Yes,2023-04-28,51-65
CUST00125,27,Female,Hyderabad,Yes,No,2023-01-19,26-35
CUST00126,33,Male,Hyderabad,Yes,No,2023-04-28,26-35
CUST00127,74,Male,Hyderabad,Yes,No,2023-01-19,65+
CUST00128,21,Male,Hyderabad,Yes,No,2023-05-10,18-25
CUST00129,27,Female,Bangalore,Yes,Yes,2023-02-03,26-35
CUST00130,62,Female,Bangalore,Yes,No,2023-01-18,51-65
CUST00131,19,Male,Chennai,No,Yes,2023-04-05,18-25
CUST00132,75,Female,Bangalore,Yes,Yes,2023-02-10,65+
CUST00133,53,Female,Hyderabad,Yes,Yes,2023-05-20,51-65
CUST00134,27,Female,Bangalore,No,Yes,2023-06-06,26-35
CUST00135,52,Male,Hyderabad,Yes,No,2023-06-20,51-65
CUST00136,59,Female,Hyderabad,Yes,No,2023-06-19,51-65
CUST00137,52,Male,Chennai,Yes,Yes,2023-02-04,51-65
CUST00138,69,Female,Hyderabad,Yes,Yes,2023-01-30,65+
CUST00139,37,Male,Chennai,No,No,2023-05-22,36-50
CUST00140,59,Male,Chennai,Yes,Yes,2023-03-11,51-65
CUST00141,49,Female,Hyderabad,Yes,No,2023-06-04,36-50
CUST00142,19,Male,Hyderabad,Yes,No,2023-03-29,18-25
CUST00143,39,Male,Chennai,Yes,No,2023-06-25,36-50
CUST00144,53,Female,Chennai,Yes,Yes,2023-05-10,51-65
CUST00145,79,Female,Hyderabad,Yes,No,2023-03-06,65+
CUST00146,32,Male,Bangalore,Yes,No,2023-01-24,26-35
CUST00147,54,Female,Bangalore,No,No,2023-03-12,51-65
CUST00148,62,Male,Hyderabad,No,No,2023-01-01,51-65
CUST00149,26,Female,Chennai,No,No,2023-02-03,26-35
CUST00150,61,Female,Chennai,Yes,Yes,2023-02-11,51-65
CUST00151,28,Female,Bangalore,No,No,2023-05-22,26-35
CUST00152,64,Female,Hyderabad,Yes,No,2023-05-24,51-65
CUST00153,48,Male,Bangalore,No,Yes,2023-01-29,36-50
CUST00154,38,Male,Hyderabad,No,No,2023-06-26,36-50
CUST00155,40,Male,Chennai,Yes,No,2023-05-20,36-50
CUST00156,40,Male,Chennai,No,Yes,2023-04-05,36-50
CUST00157,47,Male,Chennai,Yes,No,2023-04-21,36-50
CUST00158,29,Male,Hyderabad,No,No,2023-01-11,26-35
CUST00159,74,Female,Hyderabad,Yes,Yes,2023-04-04,65+
CUST00160,56,Male,Bangalore,Yes,No,2023-04-02,51-65
