customer_id,age,gender,city,repeat_customer,loyalty_member,registration_date
CUST00001,59,Male,Hyderabad,No,No,2023-03-16
CUST00002,32,Male,Bangalore,Yes,No,2023-03-01
CUST00003,27,Male,Hyderabad,No,Yes,2023-04-08
CUST00004,34,Female,Chennai,Yes,No,2023-04-27
CUST00005,58,Female,Bangalore,No,No,2023-02-11
CUST00006,79,Female,Hyderabad,Yes,Yes,2023-04-01
CUST00007,77,Male,Chennai,No,Yes,2023-06-21
CUST00008,39,Female,Hyderabad,Yes,Yes,2023-06-29
CUST00009,37,Male,Bangalore,Yes,Yes,2023-06-05
CUST00010,25,Male,Hyderabad,Yes,Yes,2023-05-17
CUST00011,62,Male,Hyderabad,No,No,2023-02-11
CUST00012,54,Female,Hyderabad,No,Yes,2023-04-08
CUST00013,37,Female,Bangalore,Yes,Yes,2023-06-13
CUST00014,65,Male,Hyderabad,Yes,No,2023-06-25
CUST00015,46,Female,Hyderabad,Yes,No,2023-01-15
CUST00016,71,Male,Chennai,Yes,No,2023-01-09
CUST00017,53,Female,Bangalore,Yes,No,2023-04-13
CUST00018,37,Female,Bangalore,Yes,Yes,2023-01-17
CUST00019,53,Male,Chennai,No,No,2023-05-26
CUST00020,46,Female,Bangalore,Yes,No,2023-02-24
CUST00021,77,Female,Chennai,Yes,No,2023-04-12
CUST00022,53,Female,Chennai,No,No,2023-02-06
CUST00023,51,Female,Bangalore,No,Yes,2023-02-05
CUST00024,69,Male,Hyderabad,No,No,2023-05-24
CUST00025,57,Female,Hyderabad,No,No,2023-05-30
CUST00026,20,Female,Chennai,Yes,No,2023-05-30
CUST00027,33,Female,Hyderabad,Yes,Yes,2023-04-03
CUST00028,40,Male,Hyderabad,No,No,2023-02-05
CUST00029,58,Female,Hyderabad,Yes,No,2023-01-24
CUST00030,27,Male,Hyderabad,No,Yes,2023-01-29
CUST00031,75,Male,Hyderabad,Yes,Yes,2023-06-10
CUST00032,64,Male,Hyderabad,No,Yes,2023-06-24
CUST00033,38,Female,Hyderabad,Yes,No,2023-06-02
CUST00034,34,Male,Bangalore,Yes,No,2023-04-09
CUST00035,60,Female,Chennai,No,No,2023-06-02
CUST00036,48,Female,Hyderabad,No,Yes,2023-05-16
CUST00037,44,Female,Hyderabad,Yes,Yes,2023-05-22
CUST00038,34,Male,Bangalore,Yes,Yes,2023-06-24
CUST00039,46,Male,Chennai,Yes,No,2023-06-24
CUST00040,24,Female,Chennai,Yes,Yes,2023-06-14
CUST00041,43,Female,Hyderabad,Yes,No,2023-01-29
