inventory_id,product_id,branch_id,stock_quantity,reorder_level,max_stock_level,supplier_name,batch_number,expiry_date,warehouse_location,unit_cost,stock_value
INV-PRD0001-BR01,PRD0001,BR01,233,35,726,Abbott India,BATCH846259,2026-09-06,WH-BLR-01,109.54,25522.82
INV-PRD0001-BR02,PRD0001,BR02,240,41,617,Abbott India,BATCH107091,2026-05-26,WH-HYD-01,109.54,26289.6
INV-PRD0001-BR03,PRD0001,BR03,79,15,258,Abbott India,BATCH483254,2025-07-11,WH-HYD-01,109.54,8653.66
INV-PRD0001-BR04,PRD0001,BR04,245,60,750,Abbott India,BATCH196850,2025-12-23,WH-CHN-01,109.54,26837.3
INV-PRD0001-BR05,PRD0001,BR05,105,15,333,Abbott India,BATCH910733,2025-11-09,WH-HYD-02,109.54,11501.7
INV-PRD0001-BR06,PRD0001,BR06,337,77,956,Abbott India,BATCH590991,2025-09-03,WH-CHN-01,109.54,36914.98
INV-PRD0001-BR07,PRD0001,BR07,354,56,898,Abbott India,BATCH383619,2025-05-22,WH-BLR-01,109.54,38777.16
INV-PRD0001-BR08,PRD0001,BR08,23,4,81,Abbott India,BATCH480524,2025-07-18,WH-HYD-01,109.54,2519.42
INV-PRD0002-BR01,PRD0002,BR01,147,22,374,Sun Pharmaceuticals,BATCH110509,2026-02-12,WH-HYD-02,164.95,24247.65
INV-PRD0002-BR02,PRD0002,BR02,357,88,1356,Sun Pharmaceuticals,BATCH753014,2025-07-18,WH-HYD-02,164.95,58887.15
INV-PRD0002-BR03,PRD0002,BR03,295,47,895,Sun Pharmaceuticals,BATCH896698,2025-12-05,WH-CHN-01,164.95,48660.25
INV-PRD0002-BR04,PRD0002,BR04,182,35,723,Sun Pharmaceuticals,BATCH420805,2025-03-06,WH-HYD-02,164.95,30020.9
INV-PRD0002-BR05,PRD0002,BR05,6,1,18,Sun Pharmaceuticals,BATCH790718,2026-11-12,WH-BLR-01,164.95,989.7
INV-PRD0002-BR06,PRD0002,BR06,217,53,736,Sun Pharmaceuticals,BATCH827842,2025-08-14,WH-BLR-01,164.95,35794.15
INV-PRD0002-BR07,PRD0002,BR07,72,15,202,Sun Pharmaceuticals,BATCH352750,2025-07-03,WH-HYD-01,164.95,11876.4
INV-PRD0002-BR08,PRD0002,BR08,89,16,232,Sun Pharmaceuticals,BATCH999357,2025-09-08,WH-BLR-01,164.95,14680.55
INV-PRD0003-BR01,PRD0003,BR01,264,63,674,Sun Pharmaceuticals,BATCH804853,2026-02-21,WH-BLR-01,51.09,13487.76
INV-PRD0003-BR02,PRD0003,BR02,222,51,625,Sun Pharmaceuticals,BATCH945136,2026-07-08,WH-HYD-02,51.09,11341.98
